Dates,Brisbane,Gold Coast,Queensland North Coast,Central Queensland,Cairns,Sunshine Coast,Toowoomba
1/01/2009,2.73,3.64,3.83,0.24,4.07,3.25,2.84
1/02/2009,2.44,3.77,3.74,0.18,3.92,3.57,2.09
1/03/2009,2.46,4.04,4.08,0.14,3.91,3.92,1.78
1/04/2009,2.29,4.13,4.12,0.11,3.64,3.82,1.52
1/05/2009,2.44,4.7,4.11,0.19,3.62,4.16,1.47
1/06/2009,2.48,5.08,3.95,0.39,3.5,3.91,1.44
1/07/2009,2.8,5.66,4.2,1.25,3.85,4.25,1.39
1/08/2009,3.4,6.11,4.84,2.55,4.73,3.84,1.42
1/09/2009,2.69,4.42,3.79,2.05,3.79,2.95,1.15
1/10/2009,1.99,2.73,2.74,1.54,2.85,2.07,0.89
1/11/2009,2.17,2.6,2.69,1.73,2.93,1.7,0.82
1/12/2009,2.77,2.84,3.28,1.95,3.33,1.79,1.21
1/01/2010,2.21,2.53,2.92,1.64,2.97,1.18,1.01
1/02/2010,2.09,2.71,2.85,1.69,3.17,1.43,0.98
1/03/2010,1.92,2.77,2.9,1.63,2.98,1.59,0.78
1/04/2010,1.82,2.92,2.53,0.96,2.53,1.65,0.45
1/05/2010,2.09,3.35,2.49,1.15,2.68,2.21,0.4
1/06/2010,2.17,4.13,2.5,1.69,2.94,2.35,1.21
1/07/2010,2.28,4.04,2.51,1.78,2.88,2.33,1.29
1/08/2010,1.89,1.56,2.05,1.74,1.93,2.18,1.31
1/09/2010,1.81,1.51,1.83,1.8,1.91,2.03,1.33
1/10/2010,2.02,2.67,2.23,1.6,2.72,1.9,1.38
1/11/2010,2.12,2.6,2.36,1.57,3.02,1.89,1.59
1/12/2010,2.71,2.83,2.95,1.95,3.46,2.17,2.11
1/01/2011,2.01,2.5,2.43,1.31,3.25,1.81,1.56
1/02/2011,1.75,2.88,2.01,1.22,2.96,2.01,1.2
1/03/2011,1.67,3.24,2.02,1.13,2.48,2.3,1.26
1/04/2011,1.96,4.05,2.28,1.23,2.67,2.82,1.58
1/05/2011,1.77,4.09,1.89,1.13,2.31,2.58,1.34
1/06/2011,2.03,4.64,1.94,1.02,2.37,2.82,1.4
1/07/2011,1.93,4.36,1.74,1.08,2.14,2.86,1.4
1/08/2011,1.79,3.74,1.6,1.16,1.89,2.81,1.36
1/09/2011,1.87,3.28,1.66,1.16,2.12,3.25,1.47
1/10/2011,1.79,3.02,1.42,1.07,2.2,2.81,1.36
1/11/2011,1.86,2.59,1.67,1.33,2.3,2.42,1.55
1/12/2011,2.38,2.66,2.15,1.52,2.85,2.64,2.01
1/01/2012,1.93,2.28,1.61,1.08,2.47,2.27,1.68
1/02/2012,1.76,2.61,1.7,1.2,2.35,2.3,1.54
1/03/2012,1.58,2.78,1.79,1.17,2.44,2.31,1.4
1/04/2012,1.67,3.23,1.8,1.32,2.27,2.38,1.28
1/05/2012,1.54,3.48,1.72,1.41,1.79,2.34,1.08
1/06/2012,1.66,3.78,1.88,1.51,1.7,2.36,1.16
1/07/2012,1.55,3.38,1.75,1.41,1.58,2.25,1.14
1/08/2012,1.48,3,1.74,1.76,1.73,2.08,1.11
1/09/2012,1.56,2.98,1.98,1.88,1.6,1.98,1.02
1/10/2012,1.63,2.59,2.22,2.07,1.67,1.81,1.12
1/11/2012,1.84,2.36,2.74,2.27,1.84,1.83,1.33
1/12/2012,2.25,2.27,3.99,2.69,2.41,1.91,1.66
1/01/2013,1.91,1.97,3.89,2.54,2.18,1.65,1.28
1/02/2013,1.77,2.22,3.88,2.51,2.25,1.73,1.36
1/03/2013,1.72,2.22,4.07,2.71,2.17,1.73,1.29
