dates,Melbourne,Bayside,Eastern Melbourne,Inner Eastern Melbourne,Melbourne City,Melbourne North,North West Melbourne,South East Melbourne,South West Melbourne,Western Melbourne
2005-01-01,4.37,4.49,2.96,5.07,5.06,3.62,3.98,4.8,5.23,5.16
2005-02-01,3.98,4,2.84,4.5,4.66,3.42,3.89,4.34,4.4,4.44
2005-03-01,4.35,4.23,3,4.87,4.32,3.61,4.22,5.71,6.27,5.47
2005-04-01,3.28,2.87,2.18,3.69,2.95,3.11,3.47,4.12,4.71,4.23
2005-05-01,3.33,3.32,2.36,3.7,3.16,2.96,2.99,4.15,4.77,4.2
2005-06-01,3.92,3.95,2.77,4.5,3.85,3.52,3.39,4.7,5.05,4.51
2005-07-01,2.55,2.6,1.55,3.13,2.6,2.39,2.48,2.44,3.11,2.88
2005-08-01,2.84,2.86,1.77,3.37,2.86,2.49,2.62,3.37,3.83,3.23
2005-09-01,3.8,3.73,2.5,4.4,3.72,3.28,3.67,4.43,5.61,4.93
2005-10-01,3.33,3.35,2.19,3.77,3.18,2.8,3.51,3.82,5.24,4.62
2005-11-01,2.46,2.51,1.64,2.77,2.38,2.15,2.38,2.55,4.2,3.59
2005-12-01,2.45,2.34,1.68,2.89,2.54,2.29,2.09,2.23,3.87,3.28
2006-01-01,2.32,2.2,1.68,2.9,2.45,2.12,2.14,2.14,3.53,3.13
2006-02-01,2.34,2.25,1.69,2.74,2.39,2.11,2.21,2.18,3.65,3.4
2006-03-01,3,2.84,2.32,3.34,2.88,2.53,2.85,3.46,5.01,4.29
2006-04-01,1.4,1.37,1.18,1.51,1.19,1.19,1.34,1.72,2.46,2.09
2006-05-01,2.52,2.28,2,2.65,2.38,1.99,2.27,3.66,4.27,3.64
2006-06-01,2.21,2.01,1.78,2.35,2.05,1.72,2.01,3.11,3.85,3.18
2006-07-01,2.4,2.23,1.79,2.64,2.08,1.84,2.27,3.41,4.34,3.65
2006-08-01,2.75,2.55,2.09,2.98,2.19,2.11,2.72,4.15,5.11,4.36
2006-09-01,2.07,1.9,1.67,2.27,1.63,1.66,1.72,3.14,3.66,3.08
2006-10-01,2.12,1.81,1.66,2.12,1.69,1.7,1.89,3.41,4.28,3.61
2006-11-01,2.51,2.21,1.93,2.64,2.16,2.09,2.1,3.9,4.32,3.71
2006-12-01,1.81,1.64,1.48,1.92,1.6,1.66,1.62,2.49,2.59,2.26
2007-01-01,2.41,2.35,1.86,2.53,2.34,2.06,1.95,3.35,3.74,3.14
2007-02-01,2.16,1.97,1.85,2.19,1.94,1.83,1.82,3.3,3.44,2.86
2007-03-01,2.36,1.91,1.88,2.32,2,2,2.12,4.2,4.27,3.27
2007-04-01,1.85,1.55,1.58,1.88,1.61,1.64,1.37,2.94,2.92,2.38
2007-05-01,2.37,2.12,2.03,2.42,1.93,2.03,1.88,3.8,4.01,3.24
2007-06-01,1.71,1.66,1.55,1.69,1.45,1.47,1.27,2.78,2.59,2.21
2007-07-01,1.85,1.79,1.61,1.89,1.6,1.61,1.29,2.92,2.58,2.19
2007-08-01,2.82,2.69,2.61,2.82,2.29,2.42,1.95,4.59,4.25,3.35
2007-09-01,2.12,2.16,1.83,2.16,1.66,1.81,1.52,3.46,3.22,2.68
2007-10-01,1.99,1.89,1.75,2.05,1.61,1.71,1.45,3.16,3.02,2.41
2007-11-01,2.32,2.32,1.96,2.5,1.97,2.06,1.85,3.25,3.36,2.91
2007-12-01,1.97,2,1.64,2.16,1.7,1.74,1.45,2.61,2.85,2.49
2008-01-01,2.52,2.37,2.05,2.91,2.43,2.16,1.99,3.08,3.45,3.04
2008-02-01,2.15,2.04,1.77,2.51,2.11,1.79,1.81,2.54,2.88,2.61
2008-03-01,1.87,1.72,1.61,2.04,1.81,1.57,1.69,2.24,2.62,2.32
2008-04-01,1.97,1.86,1.59,2.1,1.92,1.61,1.79,2.55,3.02,2.62
2008-05-01,2.37,2.25,1.96,2.55,2.33,1.99,2.19,2.75,3.52,3.21
2008-06-01,1.89,1.88,1.17,2.38,2.55,1.37,1.18,1.57,2.94,2.46
2008-07-01,2.11,2.2,1.07,2.67,2.82,1.66,1.28,1.46,3.64,3.1
2008-08-01,2.43,2.62,2.03,2.76,2.57,2.09,2.05,2.25,4.14,3.56
2008-09-01,2.24,2.37,1.73,2.49,2.14,1.89,1.85,2.29,3.77,3.3
2008-10-01,2.83,2.74,2.25,3.02,2.71,2.47,2.56,2.8,5.16,4.5
